"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"SVN","TEACHINGHR","PRY","HR_YEAR","A","2011",627,
"SVN","TEACHINGHR","PRY","HR_YEAR","A","2012",627,
"SVN","TEACHINGHR","UPPSRY","HR_YEAR","A","2005",570,
"SVN","TEACHINGHR","UPPSRY","HR_YEAR","A","2006",570,
"SVN","TEACHINGHR","UPPSRY","HR_YEAR","A","2007",570,
"SVN","TEACHINGHR","UPPSRY","HR_YEAR","A","2008",570,
"SVN","TEACHINGHR","UPPSRY","HR_YEAR","A","2009",570,
"SVN","TEACHINGHR","UPPSRY","HR_YEAR","A","2010",570,
"SVN","TEACHINGHR","UPPSRY","HR_YEAR","A","2011",570,
"SVN","TEACHINGHR","UPPSRY","HR_YEAR","A","2012",570,
"SVN","TEACHINGHR","LOWSRY","HR_YEAR","A","2005",627,
"SVN","TEACHINGHR","LOWSRY","HR_YEAR","A","2006",627,
"SVN","TEACHINGHR","LOWSRY","HR_YEAR","A","2007",627,
"SVN","TEACHINGHR","LOWSRY","HR_YEAR","A","2008",627,
"SVN","TEACHINGHR","LOWSRY","HR_YEAR","A","2009",627,
"SVN","TEACHINGHR","LOWSRY","HR_YEAR","A","2010",627,
"SVN","TEACHINGHR","LOWSRY","HR_YEAR","A","2011",627,
"SVN","TEACHINGHR","LOWSRY","HR_YEAR","A","2012",627,
"OAVG","TEACHINGHR","PRY","HR_YEAR","A","2000",767,
"OAVG","TEACHINGHR","PRY","HR_YEAR","A","2005",772,
"OAVG","TEACHINGHR","PRY","HR_YEAR","A","2006",782,
"OAVG","TEACHINGHR","PRY","HR_YEAR","A","2007",771,
"OAVG","TEACHINGHR","PRY","HR_YEAR","A","2008",768,
"OAVG","TEACHINGHR","PRY","HR_YEAR","A","2009",769,
"OAVG","TEACHINGHR","PRY","HR_YEAR","A","2010",773,
"OAVG","TEACHINGHR","PRY","HR_YEAR","A","2011",776,
"OAVG","TEACHINGHR","PRY","HR_YEAR","A","2012",771,
"OAVG","TEACHINGHR","UPPSRY","HR_YEAR","A","2000",609,
"OAVG","TEACHINGHR","UPPSRY","HR_YEAR","A","2005",644,
"OAVG","TEACHINGHR","UPPSRY","HR_YEAR","A","2006",643,
"OAVG","TEACHINGHR","UPPSRY","HR_YEAR","A","2007",641,
"OAVG","TEACHINGHR","UPPSRY","HR_YEAR","A","2008",641,
"OAVG","TEACHINGHR","UPPSRY","HR_YEAR","A","2009",640,
"OAVG","TEACHINGHR","UPPSRY","HR_YEAR","A","2010",644,
"OAVG","TEACHINGHR","UPPSRY","HR_YEAR","A","2011",646,
"OAVG","TEACHINGHR","UPPSRY","HR_YEAR","A","2012",642,
"OAVG","TEACHINGHR","LOWSRY","HR_YEAR","A","2000",681,
"OAVG","TEACHINGHR","LOWSRY","HR_YEAR","A","2005",684,
"OAVG","TEACHINGHR","LOWSRY","HR_YEAR","A","2006",694,
"OAVG","TEACHINGHR","LOWSRY","HR_YEAR","A","2007",690,
"OAVG","TEACHINGHR","LOWSRY","HR_YEAR","A","2008",689,
"OAVG","TEACHINGHR","LOWSRY","HR_YEAR","A","2009",686,
"OAVG","TEACHINGHR","LOWSRY","HR_YEAR","A","2010",689,
"OAVG","TEACHINGHR","LOWSRY","HR_YEAR","A","2011",692,
"OAVG","TEACHINGHR","LOWSRY","HR_YEAR","A","2012",682,
"AUS","TEACHINGHR","LOWSRY_PREPARATION","HR_WEEK","A","2013",7.1,
"AUS","TEACHINGHR","LOWSRY_TEACHING","HR_WEEK","A","2013",18.6,
"CZE","TEACHINGHR","LOWSRY_PREPARATION","HR_WEEK","A","2013",8.3,
"CZE","TEACHINGHR","LOWSRY_TEACHING","HR_WEEK","A","2013",17.8,
"DNK","TEACHINGHR","LOWSRY_PREPARATION","HR_WEEK","A","2013",7.9,
"DNK","TEACHINGHR","LOWSRY_TEACHING","HR_WEEK","A","2013",18.9,
"FIN","TEACHINGHR","LOWSRY_PREPARATION","HR_WEEK","A","2013",4.8,
"FIN","TEACHINGHR","LOWSRY_TEACHING","HR_WEEK","A","2013",20.6,
"FRA","TEACHINGHR","LOWSRY_PREPARATION","HR_WEEK","A","2013",7.5,
"FRA","TEACHINGHR","LOWSRY_TEACHING","HR_WEEK","A","2013",18.6,
"ISL","TEACHINGHR","LOWSRY_PREPARATION","HR_WEEK","A","2013",7.3,
"ISL","TEACHINGHR","LOWSRY_TEACHING","HR_WEEK","A","2013",19,
"ITA","TEACHINGHR","LOWSRY_PREPARATION","HR_WEEK","A","2013",5,
"ITA","TEACHINGHR","LOWSRY_TEACHING","HR_WEEK","A","2013",17.3,
"JPN","TEACHINGHR","LOWSRY_PREPARATION","HR_WEEK","A","2013",8.7,
"JPN","TEACHINGHR","LOWSRY_TEACHING","HR_WEEK","A","2013",17.7,
"KOR","TEACHINGHR","LOWSRY_PREPARATION","HR_WEEK","A","2013",7.7,
"KOR","TEACHINGHR","LOWSRY_TEACHING","HR_WEEK","A","2013",18.8,
"MEX","TEACHINGHR","LOWSRY_PREPARATION","HR_WEEK","A","2013",6.2,
"MEX","TEACHINGHR","LOWSRY_TEACHING","HR_WEEK","A","2013",22.7,
"NLD","TEACHINGHR","LOWSRY_PREPARATION","HR_WEEK","A","2013",5.1,
"NLD","TEACHINGHR","LOWSRY_TEACHING","HR_WEEK","A","2013",16.9,
"NOR","TEACHINGHR","LOWSRY_PREPARATION","HR_WEEK","A","2013",6.5,
"NOR","TEACHINGHR","LOWSRY_TEACHING","HR_WEEK","A","2013",15,
"POL","TEACHINGHR","LOWSRY_PREPARATION","HR_WEEK","A","2013",5.5,
"POL","TEACHINGHR","LOWSRY_TEACHING","HR_WEEK","A","2013",18.6,
"PRT","TEACHINGHR","LOWSRY_PREPARATION","HR_WEEK","A","2013",8.5,
"PRT","TEACHINGHR","LOWSRY_TEACHING","HR_WEEK","A","2013",20.8,
"SVK","TEACHINGHR","LOWSRY_PREPARATION","HR_WEEK","A","2013",7.5,
"SVK","TEACHINGHR","LOWSRY_TEACHING","HR_WEEK","A","2013",19.9,
"ESP","TEACHINGHR","LOWSRY_PREPARATION","HR_WEEK","A","2013",6.6,
"ESP","TEACHINGHR","LOWSRY_TEACHING","HR_WEEK","A","2013",18.6,
"SWE","TEACHINGHR","LOWSRY_PREPARATION","HR_WEEK","A","2013",6.7,
"SWE","TEACHINGHR","LOWSRY_TEACHING","HR_WEEK","A","2013",17.6,
"BRA","TEACHINGHR","LOWSRY_PREPARATION","HR_WEEK","A","2013",7.1,
"BRA","TEACHINGHR","LOWSRY_TEACHING","HR_WEEK","A","2013",25.4,
"BGR","TEACHINGHR","LOWSRY_PREPARATION","HR_WEEK","A","2013",8.1,
"BGR","TEACHINGHR","LOWSRY_TEACHING","HR_WEEK","A","2013",18.4,
"CHL","TEACHINGHR","LOWSRY_PREPARATION","HR_WEEK","A","2013",5.8,
"CHL","TEACHINGHR","LOWSRY_TEACHING","HR_WEEK","A","2013",26.7,
"HRV","TEACHINGHR","LOWSRY_PREPARATION","HR_WEEK","A","2013",9.7,
"HRV","TEACHINGHR","LOWSRY_TEACHING","HR_WEEK","A","2013",19.6,
"EST","TEACHINGHR","LOWSRY_PREPARATION","HR_WEEK","A","2013",6.9,
"EST","TEACHINGHR","LOWSRY_TEACHING","HR_WEEK","A","2013",20.9,
"ISR","TEACHINGHR","LOWSRY_PREPARATION","HR_WEEK","A","2013",5.2,
"ISR","TEACHINGHR","LOWSRY_TEACHING","HR_WEEK","A","2013",18.3,
"LVA","TEACHINGHR","LOWSRY_PREPARATION","HR_WEEK","A","2013",6.4,
"LVA","TEACHINGHR","LOWSRY_TEACHING","HR_WEEK","A","2013",19.2,
"MYS","TEACHINGHR","LOWSRY_PREPARATION","HR_WEEK","A","2013",6.4,
"MYS","TEACHINGHR","LOWSRY_TEACHING","HR_WEEK","A","2013",17.1,
"ROU","TEACHINGHR","LOWSRY_PREPARATION","HR_WEEK","A","2013",8,
"ROU","TEACHINGHR","LOWSRY_TEACHING","HR_WEEK","A","2013",16.2,
"SGP","TEACHINGHR","LOWSRY_PREPARATION","HR_WEEK","A","2013",8.4,
"SGP","TEACHINGHR","LOWSRY_TEACHING","HR_WEEK","A","2013",17.1,
"SRB","TEACHINGHR","LOWSRY_PREPARATION","HR_WEEK","A","2013",7.9,
"SRB","TEACHINGHR","LOWSRY_TEACHING","HR_WEEK","A","2013",18.4,
"OAVG","TEACHINGHR","LOWSRY_PREPARATION","HR_WEEK","A","2013",6.7,
"OAVG","TEACHINGHR","LOWSRY_TEACHING","HR_WEEK","A","2013",19.2,
"NZL","TEACHINGHR","LOWSRY_PREPARATION","HR_WEEK","A","2013",7.2,
"NZL","TEACHINGHR","LOWSRY_TEACHING","HR_WEEK","A","2013",18,
"GEO","TEACHINGHR","LOWSRY_PREPARATION","HR_WEEK","A","2013",7.6,
"GEO","TEACHINGHR","LOWSRY_TEACHING","HR_WEEK","A","2013",15.8,
"RUS","TEACHINGHR","LOWSRY_PREPARATION","HR_WEEK","A","2013",9.5,
"RUS","TEACHINGHR","LOWSRY_TEACHING","HR_WEEK","A","2013",23.6,
